PostalCode,Latitude,Longitude
1068WV,52.35751,4.80791
1051JB,52.37927,4.86952
1055HR,52.379870000000004,4.84836
1055PZ,52.37582,4.8625300000000005
1032BW,52.3958,4.91547
1064PR,52.36627,4.8295900000000005
1065LN,52.35543,4.82596
1066WD,52.34457,4.80514
1056XM,52.37622,4.860119999999998
1069GC,52.35451,4.78405
1055TA,52.37774,4.85545
1091TT,52.35007,4.91402
1065SR,52.3545,4.83111
1102EE,52.31184,4.95571
1013GG,52.38042,4.89452
1066HD,52.34616,4.81839
1062GK,52.349270000000004,4.83549
1015XW,52.3812,4.880319999999998
1094NZ,52.36162,4.93837
1069LD,52.35484,4.791919999999998
1024NZ,52.393679999999996,4.949319999999998
1059EM,52.3487,4.85031
1021GL,52.38516,4.91665
1066RC,52.34576,4.8110300000000015
1064PE,52.37806,4.81016
1025AK,52.40187,4.94735
1024AW,52.39866,4.95118
1065EB,52.35647,4.82808
1094KG,52.36254,4.93567
1060RV,52.34956,4.7908
1055CR,52.37879,4.85297
1057BJ,52.36988,4.84932
1108EM,52.31046,4.98182
1102HL,52.30981,4.95795
1024BS,52.39419,4.95102
1067VC,52.37849,4.79041
1059VW,52.3495,4.84865
1108GD,52.31046,4.98182
1067WD,52.38135,4.7906900000000014
1055PN,52.38458,4.81976
1079SV,52.34317,4.90934
1062JS,52.36423,4.84742
1094GK,52.364329999999995,4.9355
1013EL,52.38027,4.89198
1062KE,52.35366,4.8359
1107PT,52.29242,4.96891
1098GK,52.35443,4.93652
1055TS,52.37725,4.85882
1078ST,52.34745,4.90825
1082RD,52.33486,4.87363
1102TH,52.31958,4.94351
1052GK,52.37953,4.87553
1034SW,52.41153,4.91854
1066GE,52.34407,4.82671
1025ZN,52.403240000000004,4.94297
1091NX,52.3521,4.91908
1069EV,52.35557,4.78665
1060TV,0.0,0.0
1108CX,0.0,0.0
1094BB,52.36548,4.938
1013SG,52.389340000000004,4.87507
1056JT,52.37582,4.8625300000000005
1057CS,52.36372,4.85289
1107LD,52.2944,4.98228
1068XA,52.35751,4.80791
1055MD,52.3786,4.85705
1034LW,52.408770000000004,4.92255
1094KZ,52.36212,4.93381
1068WN,52.35751,4.80791
1067LN,52.37717,4.79784
1063PV,52.379979999999996,4.8173
1064AS,52.37378,4.832330000000002
1082XG,52.33175,4.87351
1082CW,52.32562,4.8756
1068LV,52.36047,4.791869999999999
1079EM,52.34441,4.90489
1094HL,52.36372,4.93468
1066PZ,52.3452,4.80904
1093BJ,52.364259999999994,4.92603
1069EG,52.35674,4.78926
1068JS,52.35626,4.81384
1056DE,52.37398,4.84821
1058LN,52.35217,4.84786
1079NJ,52.34069,4.90281
1055CD,52.37729,4.85168
1093SL,52.36615,4.9411
1103TD,52.31897,4.96347
1025ZD,52.40324,4.94297
1106BN,52.2983,4.97626
1082SL,52.33432,4.87194
1055AZ,52.37673,4.84893
1065GR,52.35352,4.8268
1103NB,52.32516,4.97705
1107EX,52.29611,4.97591
1025VN,52.39918,4.93041
1024AA,52.39866,4.95118
1065GP,52.35352,4.8268
1034LV,52.40877,4.92255
1106DK,52.29908,4.98571
1053LD,52.36877,4.8711
1018WM,52.37279,4.92335
1069ED,52.35674,4.78926
1061DL,52.378809999999994,4.84256
1057RC,52.36702,4.85158
1069ER,52.35557,4.78665
1034WL,52.40344,4.91754
1106DP,52.299459999999996,4.98838
1060PJ,52.35048,4.78252
1064AG,52.373329999999996,4.83277
1025ED,52.4029,4.93778
1082AS,52.32484,4.879580000000002
1082VN,52.33176,4.87206
1067BM,52.38243,4.8048
1063MA,52.37944,4.82505
1069DV,52.35692,4.7941400000000005
1034BS,52.40563,4.91029
1069EC,52.35674,4.78926
1056DV,52.37318,4.85466
1024RW,52.394420000000004,4.94832
1083EG,52.32763,4.87305
1025JA,52.39669,4.93688
1095CP,52.36344,4.9425300000000005
1103KM,52.3242,4.97486
1106JV,52.29726,4.97
1055NH,52.3786,4.85705
1063CE,52.38385,4.83642
1082VC,52.33208,4.87058
1092BT,52.35743,4.9181300000000014
1056HP,52.37725,4.85882
1106KS,52.29735,4.96795
1034LT,52.408770000000004,4.92255
1025CJ,52.40067,4.94301
1056NV,52.36988,4.84932
1102WS,52.32109000000001,4.94684
1057VX,52.36916,4.8548
1068JP,52.35626,4.81384
1058HC,52.35939000000001,4.85113
1016VX,52.37576,4.8781
1055AP,52.37656,4.8481
1069EL,52.35557,4.78665
1108HA,52.309,4.98528
1052TX,52.37656,4.87209
1107LN,52.29356,4.98569
1024LE,52.39088,4.95743
1034MP,52.41005,4.92371
1067KV,52.37852,4.79976
1055NK,52.38366,4.85163
1055GR,52.37867,4.85198
1055SN,52.3778,4.854419999999998
1025TX,52.39918,4.93041
1098TS,52.35196,4.94572
1064EJ,52.3725,4.83004
1024PX,52.39497,4.94643
1060TX,52.35394,4.80995
1082JH,52.32763,4.87305
1068JA,52.35684000000001,4.81441
1098SN,52.351240000000004,4.94275
1065HD,52.35424,4.82385
1051EL,52.383340000000004,4.87221
1082TW,52.33383,4.87844
1024LD,52.390879999999996,4.9574300000000004
1058GX,52.35939000000001,4.85113
1033ZB,52.41714,4.88485
1056SK,52.37127,4.8533800000000005
1033DL,52.403620000000004,4.89992
1069GD,52.35451,4.78405
1056CS,52.373979999999996,4.84821
1082JJ,52.32763,4.87305
1057CX,52.36372,4.85289
1053DC,52.36651,4.86942
1083BN,52.3264,4.88506
1075NK,52.35073,4.8610000000000015
1025BE,52.40016,4.94433
1106DS,52.29946,4.98838
1076SP,52.34774,4.86265
1095WB,52.36466,4.94311
1051JC,52.37988,4.87015
1024TN,52.39497,4.94969
1094HJ,52.36372,4.93468
1025AN,52.40187,4.94735
1079SZ,52.34317,4.90934
1069HK,52.35506,4.79586
1091CZ,52.35689,4.91044
1083CR,52.32981,4.88255
1017TC,52.36092,4.891
1108HR,52.30806,4.98235
1062LC,52.35501,4.83791
1056HL,52.37725,4.85882
1024VZ,52.39488,4.95488
1057RW,52.36734000000001,4.8534
1068CT,52.36202,4.80846
1055PK,52.38458,4.81976
1079HJ,52.34478,4.905880000000002
1033WD,52.41938,4.8834
1024KJ,52.391709999999996,4.96049
1033ZG,52.4172,4.88472
1055HN,52.379870000000004,4.84836
1074VS,52.35237,4.90105
1083XE,52.33075,4.88564
1055BH,52.37673,4.84893
