Name,Link,Vraagprijs,Vraagprijs per m²,Aangeboden sinds,Status,Aanvaarding,Bijdrage VvE,Soort appartement,Soort bouw,Bouwjaar,Soort dak,Wonen,Inhoud,Aantal kamers,Aantal badkamers,Badkamervoorzieningen,Aantal woonlagen,Gelegen op,Voorzieningen,Energielabel,Isolatie,Verwarming,Postal Code,Keurmerken,Toegankelijkheid,Soort garage,Postal Code Generic,PostalCode,Latitude,Longitude,Price,Sale type,Price per m2,Surface
Van Boshuizenstraat 471,https://www.funda.nl/koop/amsterdam/appartement-87816223-van-boshuizenstraat-471/?navigateSource=resultlist,€ 380.000 k.k.,€ 5.278,4 weken,Onder bod,In overleg,€ 264 per maand,Portiekwoning (appartement),Bestaande bouw,1961,Plat dak bedekt met bitumineuze dakbedekking,72 m²,7 m²,3 kamers (2 slaapkamers),1 apart toilet,-,1 woonlaag,1e woonlaag,Lift,E Wat betekent dit?,Geen isolatie,Blokverwarming,1082AS,-,-,-,1082,1082AS,52.32484,4.879580000000002,380000,K.K.,5278,72
Burgemeester Röellstraat 592,https://www.funda.nl/koop/amsterdam/appartement-41458753-burgemeester-roellstraat-592/?navigateSource=resultlist,€ 300.000 k.k.,€ 3.659,5 weken,Verkocht onder voorbehoud,In overleg,€ 176 per maand,Bovenwoning (appartement),Bestaande bouw,2004,Plat dak bedekt met bitumineuze dakbedekking,82 m²,5 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Ligbad en douche,1 woonlaag,3e woonlaag,Elektra,B Wat betekent dit?,-,Cv-ketel,1067XW,-,-,-,1067,1067XW,52.37549,4.81954,300000,K.K.,3659,82
Wijenburg 31,https://www.funda.nl/koop/amsterdam/appartement-41455649-wijenburg-31/?navigateSource=resultlist,€ 375.000 k.k.,€ 4.747,5 weken,Verkocht onder voorbehoud,In overleg,€ 202 per maand,Galerijflat (appartement),Bestaande bouw,1962,Plat dak,79 m²,5 m²,3 kamers (2 slaapkamers),1 badkamer,"Ligbad, douche en toilet",1 woonlaag,2e woonlaag,TV kabel,"E 2,21 Wat betekent dit?",Dubbel glas,Cv-ketel,1082VN,-,-,-,1082,1082VN,52.331759999999996,4.87206,375000,K.K.,4747,79
Ruys de Beerenbrouckstraat 87,https://www.funda.nl/koop/amsterdam/appartement-40341327-ruys-de-beerenbrouckstraat-87/?navigateSource=resultlist,€ 225.000 k.k.,€ 3.261,6 weken,Verkocht onder voorbehoud,In overleg,€ 130 per maand,Tussenverdieping (appartement),Bestaande bouw,1966,Plat dak,69 m²,7 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,3e woonlaag,TV kabel en lift,"C 1,53 Wat betekent dit?",Geen isolatie,Cv-ketel,1067BM,-,-,-,1067,1067BM,52.38243,4.8048,225000,K.K.,3261,69
Jan de Jonghstraat 17,https://www.funda.nl/koop/amsterdam/appartement-40340272-jan-de-jonghstraat-17/?navigateSource=resultlist,€ 275.000 k.k.,€ 4.167,6 weken,Verkocht onder voorbehoud,In overleg,-,Bovenwoning (appartement),Bestaande bouw,1995,Plat dak bedekt met bitumineuze dakbedekking,66 m²,4 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Ligbad en douche,1 woonlaag,1e woonlaag,-,B Wat betekent dit?,Dubbel glas,Cv-ketel,1063MA,-,-,-,1063,1063MA,52.37944,4.82505,275000,K.K.,4167,66
Tussen Meer 190,https://www.funda.nl/koop/amsterdam/appartement-40345310-tussen-meer-190/?navigateSource=resultlist,€ 295.000 k.k.,€ 3.554,6 weken,Verkocht onder voorbehoud,In overleg,€ 147 per maand,Galerijflat (appartement),Bestaande bouw,1967,Plat dak bedekt met bitumineuze dakbedekking,83 m²,7 m²,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,2e woonlaag,Lift en TV kabel,"D 1,89 Wat betekent dit?",Dubbel glas,Blokverwarming,1069DV,-,-,-,1069,1069DV,52.35692,4.7941400000000005,295000,K.K.,3554,83
Botterstraat 26,https://www.funda.nl/koop/amsterdam/appartement-40313723-botterstraat-26/?navigateSource=resultlist,€ 250.000 k.k.,€ 3.731,2 maanden,Verkocht onder voorbehoud,In overleg,-,Benedenwoning (appartement),Bestaande bouw,1965,Plat dak,67 m²,17 m²,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,Begane grond,Elektra,C Wat betekent dit?,Dubbel glas,Blokverwarming,1034BS,-,-,-,1034,1034BS,52.40563,4.91029,250000,K.K.,3731,67
Langswater 365,https://www.funda.nl/koop/amsterdam/appartement-40219214-langswater-365/?navigateSource=resultlist,€ 200.000 k.k.,€ 2.857,3 maanden,Verkocht onder voorbehoud,In overleg,€ 211 per maand,Galerijflat (appartement),Bestaande bouw,-,Plat dak bedekt met bitumineuze dakbedekking,70 m²,5 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,13 woonlagen,11e woonlaag,Lift en TV kabel,-,Gedeeltelijk dubbel glas,Stadsverwarming,1069EC,-,-,-,1069,1069EC,52.35674,4.78926,200000,K.K.,2857,70
Bijlmerdreef 1102 B,https://www.funda.nl/koop/amsterdam/appartement-40292915-bijlmerdreef-1102-b/?navigateSource=resultlist,€ 245.000 k.k.,€ 3.101,3 maanden,Verkocht onder voorbehoud,In overleg,-,Tussenverdieping (appartement),Bestaande bouw,2006,Plat dak bedekt met bitumineuze dakbedekking,79 m²,4 m²,4 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Ligbad en douche,1 woonlaag,2e woonlaag,"Mechanische ventilatie, TV kabel, lift en schuifpui",A Wat betekent dit?,Dubbel glas,Stadsverwarming,1103JT,-,-,-,1103,1103JT,52.321442,4.968903,245000,K.K.,3101,79
Vancouverstraat 4 2,https://www.funda.nl/koop/amsterdam/appartement-41423437-vancouverstraat-4-2/?navigateSource=resultlist,€ 350.000 k.k.,€ 5.469,14 oktober 2019,Beschikbaar,Beschikbaar per 2-3-2020,-,Tussenverdieping (appartement),Bestaande bouw,1932,Zadeldak bedekt met bitumineuze dakbedekking,64 m²,64 m²,3 kamers (2 slaapkamers),-,-,1 woonlaag,2e woonlaag,-,E Wat betekent dit?,"Dakisolatie, vloerisolatie en dubbel glas",Cv-ketel,1056DV,-,-,-,1056,1056DV,52.37318,4.85466,350000,K.K.,5469,64
De Egmondenstraat 61,https://www.funda.nl/koop/amsterdam/appartement-87886417-de-egmondenstraat-61/?navigateSource=resultlist,€ 270.000 k.k.,€ 3.506,14 oktober 2019,Beschikbaar,In overleg,€ 86 per maand,Bovenwoning (appartement),Bestaande bouw,1965,Plat dak bedekt met bitumineuze dakbedekking,77 m²,17 m²,4 kamers (3 slaapkamers),1 badkamer,Douche,1 woonlaag,1e woonlaag,-,C Wat betekent dit?,-,Cv-ketel,1024RW,-,-,-,1024,1024RW,52.39442,4.94832,270000,K.K.,3506,77
Van Nijenrodeweg 95,https://www.funda.nl/koop/amsterdam/appartement-41411754-van-nijenrodeweg-95/?navigateSource=resultlist,€ 395.000 k.k.,€ 4.540,4 oktober 2019,Beschikbaar,In overleg,€ 203 per maand,Portiekflat (appartement),Bestaande bouw,1964,Plat dak,87 m²,6 m²,3 kamers (2 slaapkamers),1 apart toilet,-,1 woonlaag,6e woonlaag,Elektra,-,Dubbel glas,Blokverwarming,1083EG,-,Toegankelijk voor gehandicapten en toegankelijk voor ouderen,-,1083,1083EG,52.32763,4.87305,395000,K.K.,4540,87
Het Breed 737,https://www.funda.nl/koop/amsterdam/appartement-41410147-het-breed-737/?navigateSource=resultlist,€ 320.000 k.k.,€ 3.107,5 oktober 2019,Beschikbaar,In overleg,-,Portiekflat (appartement),Bestaande bouw,1972,Plat dak bedekt met bitumineuze dakbedekking,103 m²,3 m²,4 kamers (3 slaapkamers),1 badkamer,Ligbad en douche,1 woonlaag,3e woonlaag,Elektra,-,Dubbel glas,Blokverwarming,1025JA,-,Toegankelijk voor ouderen,-,1025,1025JA,52.39669,4.93688,320000,K.K.,3107,103
Bijlmerdreef 1167,https://www.funda.nl/koop/amsterdam/appartement-87874320-bijlmerdreef-1167/?navigateSource=resultlist,€ 375.000 k.k.,€ 2.976,7 oktober 2019,Beschikbaar,Per direct beschikbaar,€ 274 per maand,Maisonnette (appartement),Bestaande bouw,2002,-,126 m²,10 m²,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,Ligbad en toilet,3 woonlagen,4e woonlaag,Elektra,A Wat betekent dit?,-,Stadsverwarming,1103TT,-,-,-,1103,1103TT,52.321981,4.972857,375000,K.K.,2976,126
Javastraat 192 H,https://www.funda.nl/koop/amsterdam/appartement-87872725-javastraat-192-h/?navigateSource=resultlist,€ 399.000 k.k.,€ 6.138,4 oktober 2019,Beschikbaar,In overleg,€ 91 per maand,Benedenwoning (appartement),Bestaande bouw,1925,Plat dak bedekt met bitumineuze dakbedekking,65 m²,6 m²,4 kamers (3 slaapkamers),-,-,1 woonlaag,Begane grond,Elektra,-,Dubbel glas,Cv-ketel,1095CP,-,-,-,1095,1095CP,52.363440000000004,4.9425300000000005,399000,K.K.,6138,65
Gouden Leeuw 528,https://www.funda.nl/koop/amsterdam/appartement-87831876-gouden-leeuw-528/?navigateSource=resultlist,€ 275.000 k.k.,€ 2.523,3 weken,Beschikbaar,In overleg,-,Portiekflat (appartement),Bestaande bouw,1974,Plat dak bedekt met bitumineuze dakbedekking,109 m²,6 m²,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,5e woonlaag,Elektra,"E 2,15 Wat betekent dit?",Dubbel glas,Blokverwarming,1103KM,-,-,-,1103,1103KM,52.3242,4.97486,275000,K.K.,2523,109
Montfoorthof 146,https://www.funda.nl/koop/amsterdam/appartement-41469351-montfoorthof-146/?navigateSource=resultlist,€ 245.000 k.k.,€ 2.188,4 weken,Beschikbaar,In overleg,-,Portiekflat,Bestaande bouw,1977,Plat dak bedekt met bitumineuze dakbedekking,112 m²,5 m²,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,2e woonlaag,-,"B 1,30 Wat betekent dit?",Geen isolatie,Cv-ketel,1106JV,-,-,-,1106,1106JV,52.297259999999994,4.97,245000,K.K.,2188,112
Admiraal De Ruijterweg 482 1,https://www.funda.nl/koop/amsterdam/appartement-41465446-admiraal-de-ruijterweg-482-1/?navigateSource=resultlist,€ 369.500 k.k.,€ 5.685,4 weken,Beschikbaar,In overleg,€ 99 per maand,Portiekflat (bel-etage),Bestaande bouw,1934,-,65 m²,3 m²,3 kamers (3 slaapkamers),2 badkamers en 1 apart toilet,2 douches,1 woonlaag,-,-,-,Dubbel glas en volledig geïsoleerd,Cv-ketel,1055NH,-,-,-,1055,1055NH,52.3786,4.85705,369500,K.K.,5685,65
Fritz Conijnstraat 26 3,https://www.funda.nl/koop/amsterdam/appartement-41451520-fritz-conijnstraat-26-3/?navigateSource=resultlist,€ 279.000 k.k.,€ 4.164,5 weken,Beschikbaar,In overleg,€ 128 per maand,Portiekflat (appartement),Bestaande bouw,1955,Plat dak bedekt met bitumineuze dakbedekking,67 m²,6 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,3e woonlaag,Elektra,-,Geen isolatie,Cv-ketel,1063CE,-,-,-,1063,1063CE,52.38385,4.8364199999999995,279000,K.K.,4164,67
Valkhof 21,https://www.funda.nl/koop/amsterdam/appartement-41458533-valkhof-21/?navigateSource=resultlist,€ 375.000 k.k.,€ 4.630,5 weken,Beschikbaar,In overleg,-,Benedenwoning (appartement),Bestaande bouw,1963,Plat dak bedekt met bitumineuze dakbedekking,81 m²,6 m²,4 kamers (3 slaapkamers),1 apart toilet,-,1 woonlaag,Begane grond,Elektra,E Wat betekent dit?,Dubbel glas,Cv-ketel,1082VC,-,-,-,1082,1082VC,52.33208,4.87058,375000,K.K.,4630,81
Tweede Oosterparkstraat 188 3,https://www.funda.nl/koop/amsterdam/appartement-41458410-tweede-oosterparkstraat-188-3/?navigateSource=resultlist,€ 389.000 k.k.,€ 5.894,5 weken,Onder bod,-,-,Bovenwoning,Bestaande bouw,1899,-,66 m²,8 m²,3 kamers (2 slaapkamers),-,-,1 woonlaag,-,Mechanische ventilatie en TV kabel,C Wat betekent dit?,Dubbel glas,Cv-ketel,1092BT,-,-,-,1092,1092BT,52.35743,4.9181300000000014,389000,K.K.,5894,66
Bestevâerstraat 52 2,https://www.funda.nl/koop/amsterdam/appartement-40342992-bestevaerstraat-52-2/?navigateSource=resultlist,€ 354.000 k.k.,€ 5.619,6 weken,Beschikbaar,In overleg,-,Tussenverdieping (appartement),Bestaande bouw,1925,Plat dak bedekt met bitumineuze dakbedekking,63 m²,4 m²,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Douche en toilet,5 woonlagen,2e woonlaag,-,B Wat betekent dit?,Muurisolatie,Cv-ketel,1056HP,-,-,-,1056,1056HP,52.37725,4.85882,354000,K.K.,5619,63
Millingenhof 268,https://www.funda.nl/koop/amsterdam/appartement-40349659-millingenhof-268/?navigateSource=resultlist,€ 205.000 k.k.,€ 2.733,6 weken,Beschikbaar,In overleg,-,Portiekflat,Bestaande bouw,1977,-,75 m²,4 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,3e woonlaag,-,"B 1,21 Wat betekent dit?",Dubbel glas,Cv-ketel,1106KS,-,-,-,1106,1106KS,52.29735,4.96795,205000,K.K.,2733,75
Grootzeil 129,https://www.funda.nl/koop/amsterdam/appartement-86782200-grootzeil-129/?navigateSource=resultlist,€ 250.000 k.k.,€ 3.333,2 maanden,Beschikbaar,In overleg,€ 100 per maand,Bovenwoning,Bestaande bouw,1978,Plat dak bedekt met bitumineuze dakbedekking,75 m²,8 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,1e woonlaag,Elektra,"D 1,69 Wat betekent dit?",Volledig geïsoleerd,Cv-ketel,1034LT,-,-,-,1034,1034LT,52.40877,4.92255,250000,K.K.,3333,75
Zilverberg 126,https://www.funda.nl/koop/amsterdam/appartement-40115221-zilverberg-126/?navigateSource=resultlist,€ 275.000 k.k.,€ 3.354,6+ maanden,Beschikbaar,In overleg,-,Bovenwoning (appartement),Bestaande bouw,1968,Plat dak,82 m²,5 m²,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,1e woonlaag,"Mechanische ventilatie, TV kabel en lift","D 1,85 Wat betekent dit?",Dubbel glas,Cv-ketel,1025CJ,-,-,-,1025,1025CJ,52.40067,4.94301,275000,K.K.,3354,82
Orteliusstraat 285 hs,https://www.funda.nl/koop/amsterdam/appartement-41410402-orteliusstraat-285-hs/?navigateSource=resultlist,€ 325.000 k.k.,€ 6.132,5 oktober 2019,Onder bod,In overleg,-,Benedenwoning (appartement),Bestaande bouw,1927,Plat dak,53 m²,53 m²,3 kamers (2 slaapkamers),1 badkamer,Douche,1 woonlaag,Begane grond,Mechanische ventilatie en TV kabel,Niet beschikbaar,Dubbel glas,Cv-ketel,1056NV,-,-,-,1056,1056NV,52.36988,4.84932,325000,K.K.,6132,53
Dolingadreef 123,https://www.funda.nl/koop/amsterdam/appartement-41460594-dolingadreef-123/?navigateSource=resultlist,€ 225.000 k.k.,€ 2.922,3 weken,Verkocht onder voorbehoud,In overleg,-,Benedenwoning (appartement),Bestaande bouw,1984,Plat dak bedekt met bitumineuze dakbedekking,77 m²,7 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,4 woonlagen,Begane grond,TV kabel,-,Dubbel glas,Cv-ketel,1102WS,-,-,-,1102,1102WS,52.32109000000001,4.94684,225000,K.K.,2922,77
Balboastraat 56 II,https://www.funda.nl/koop/amsterdam/appartement-41469744-balboastraat-56-ii/?navigateSource=resultlist,€ 295.000 k.k.,€ 5.086,4 weken,Onder bod,In overleg,-,Bovenwoning (appartement),Bestaande bouw,1924,Plat dak,58 m²,4 m²,3 kamers (2 slaapkamers),1 badkamer,Douche en toilet,1 woonlaag,2e woonlaag,TV kabel,Niet beschikbaar,Dubbel glas,Cv-ketel,1057VX,-,-,-,1057,1057VX,52.36916,4.8548,295000,K.K.,5086,58
Landzicht 31,https://www.funda.nl/koop/amsterdam/appartement-41452813-landzicht-31/?navigateSource=resultlist,€ 365.000 k.k.,€ 3.067,4 weken,Verkocht onder voorbehoud,In overleg,€ 86 per maand,Maisonnette (dubbel bovenhuis),Bestaande bouw,2009,Plat dak,119 m²,4 m²,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,"Ligbad, douche en toilet",2 woonlagen,2e woonlaag,"Mechanische ventilatie, TV kabel, schuifpui en glasvezelkabel",A Wat betekent dit?,"Dakisolatie, muurisolatie, vloerisolatie en dubbel glas",Stadsverwarming,1068ZV,-,-,Parkeerplaats,1068,1068ZV,52.36487,4.80278,365000,K.K.,3067,119
Johan van der Keukenstraat 202,https://www.funda.nl/koop/amsterdam/appartement-87814693-johan-van-der-keukenstraat-202/?navigateSource=resultlist,€ 345.000 k.k.,€ 4.929,5 weken,Verkocht onder voorbehoud,In overleg,€ 106 per maand,Bovenwoning (appartement),Bestaande bouw,2006,Plat dak,70 m²,6 m²,3 kamers (2 slaapkamers),1 apart toilet,-,1 woonlaag,3e woonlaag,Elektra,A Wat betekent dit?,"Dakisolatie, muurisolatie, vloerisolatie, dubbel glas en volledig geïsoleerd",Stadsverwarming,1087AZ,-,-,-,1087,1087AZ,52.35965,4.98971,345000,K.K.,4929,70
S. F. van Ossstraat 240,https://www.funda.nl/koop/amsterdam/appartement-41450416-s-f-van-ossstraat-240/?navigateSource=resultlist,€ 275.000 k.k.,€ 3.526,5 weken,Onder bod,In overleg,€ 221 per maand,Galerijflat (appartement),Bestaande bouw,-,-,78 m²,6 m²,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Douche,7 woonlagen,2e woonlaag,Elektra,-,-,Blokverwarming,1068JP,-,-,-,1068,1068JP,52.35626,4.81384,275000,K.K.,3526,78
Antillenstraat 38 I,https://www.funda.nl/koop/amsterdam/appartement-87819835-antillenstraat-38-i/?navigateSource=resultlist,€ 385.000 k.k.,€ 6.754,5 weken,Onder bod,In overleg,€ 42 per maand,Bovenwoning (appartement),Bestaande bouw,1935,Zadeldak bedekt met pannen,57 m²,6 m²,3 kamers (2 slaapkamers),1 apart toilet,-,2 woonlagen,1e woonlaag,-,Niet beschikbaar,Dakisolatie en gedeeltelijk dubbel glas,Cv-ketel,1058HC,-,-,-,1058,1058HC,52.35939000000001,4.85113,385000,K.K.,6754,57
Lijnbaansgracht 164 B,https://www.funda.nl/koop/amsterdam/appartement-86705512-lijnbaansgracht-164-b/?navigateSource=resultlist,€ 380.000 k.k.,€ 6.786,6 weken,Verkocht onder voorbehoud,In overleg,€ 78 per maand,Bovenwoning (appartement),Bestaande bouw,Voor 1906,Plat dak,56 m²,6 m²,3 kamers (2 slaapkamers),1 badkamer,Douche,1 woonlaag,1e woonlaag,"Mechanische ventilatie, TV kabel en lift",A Wat betekent dit?,"Muurisolatie, vloerisolatie, dubbel glas en volledig geïsoleerd",Cv-ketel,1016VX,-,-,-,1016,1016VX,52.37576,4.8781,380000,K.K.,6786,56
Elckerlijcstraat 46 I,https://www.funda.nl/koop/amsterdam/appartement-40347298-elckerlijcstraat-46-i/?navigateSource=resultlist,€ 275.000 k.k.,€ 5.000,6 weken,Verkocht onder voorbehoud,In overleg,-,Bovenwoning (appartement),Bestaande bouw,-,Plat dak,55 m²,7 m²,3 kamers (2 slaapkamers),1 badkamer,Douche en toilet,1 woonlaag,1e woonlaag,Elektra,Niet beschikbaar,Dubbel glas,Cv-ketel,1055AP,-,-,-,1055,1055AP,52.37656,4.8481,275000,K.K.,5000,55
Albatrospad 84,https://www.funda.nl/koop/amsterdam/appartement-40331108-albatrospad-84/?navigateSource=resultlist,€ 385.000 k.k.,€ 4.477,7 weken,Verkocht onder voorbehoud,In overleg,-,Portiekflat (appartement),Bestaande bouw,2006,Plat dak,86 m²,4 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,-,1 woonlaag,2e woonlaag,Mechanische ventilatie en lift,A Wat betekent dit?,Volledig geïsoleerd,Cv-ketel,1021TR,-,-,Parkeerplaats,1021,1021TR,52.387785,4.92248,385000,K.K.,4477,86
Albatrospad 90,https://www.funda.nl/koop/amsterdam/appartement-40204880-albatrospad-90/?navigateSource=resultlist,€ 385.000 k.k.,€ 4.583,3 maanden,Verkocht onder voorbehoud,In overleg,€ 165 per maand,Portiekflat,Bestaande bouw,2006,Plat dak,84 m²,4 m²,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Ligbad,1 woonlaag,4e woonlaag,TV kabel en lift,-,-,Cv-ketel en warmte terugwininstallatie,1021TR,-,-,Parkeerkelder en parkeerplaats,1021,1021TR,52.387785,4.92248,385000,K.K.,4583,84
Dijkgraafplein 65,https://www.funda.nl/koop/amsterdam/appartement-40330059-dijkgraafplein-65/?navigateSource=resultlist,€ 289.000 k.k.,€ 2.890,7 weken,Verkocht onder voorbehoud,In overleg,-,Maisonnette (appartement),Bestaande bouw,1970,Plat dak bedekt met bitumineuze dakbedekking,100 m²,5 m²,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Ligbad en toilet,2 woonlagen,5e woonlaag,"Mechanische ventilatie, TV kabel en lift",C Wat betekent dit?,-,Blokverwarming,1069EL,-,-,-,1069,1069EL,52.35557,4.78665,289000,K.K.,2890,100
Liendenhof 41,https://www.funda.nl/koop/amsterdam/appartement-40322500-liendenhof-41/?navigateSource=resultlist,€ 275.000 k.k.,€ 2.723,8 weken,Onder bod,In overleg,€ 278 per maand,Bovenwoning (appartement),Bestaande bouw,1979,Plat dak,101 m²,7 m²,4 kamers (3 slaapkamers),1 badkamer,Ligbad,1 woonlaag,2e woonlaag,TV kabel en lift,"D 1,61 Wat betekent dit?",-,Cv-ketel,1108HA,-,-,Parkeerplaats,1108,1108HA,52.309,4.98528,275000,K.K.,2723,101
Gillis van Ledenberchstraat 27 -H,https://www.funda.nl/koop/amsterdam/appartement-40321082-gillis-van-ledenberchstraat-27-h/?navigateSource=resultlist,€ 350.000 k.k.,€ 6.250,2 maanden,Verkocht onder voorbehoud,In overleg,-,Benedenwoning (appartement),Bestaande bouw,1932,Plat dak bedekt met bitumineuze dakbedekking,56 m²,12 m²,3 kamers (2 slaapkamers),1 badkamer,Douche en toilet,1 woonlaag,Begane grond,Verwarming en elektra,D Wat betekent dit?,Volledig geïsoleerd,Cv-ketel,1052TX,-,-,-,1052,1052TX,52.37656,4.87209,350000,K.K.,6250,56
Erich Salomonstraat 144,https://www.funda.nl/koop/amsterdam/appartement-40317876-erich-salomonstraat-144/?navigateSource=resultlist,€ 389.144 k.k.,€ 3.778,2 maanden,Verkocht onder voorbehoud,In overleg,-,Galerijflat (appartement),Bestaande bouw,2010,Plat dak bedekt met bitumineuze dakbedekking,103 m²,5 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Ligbad en douche,1 woonlaag,3e woonlaag,"Mechanische ventilatie, TV kabel, lift en schuifpui",B Wat betekent dit?,Volledig geïsoleerd,"Stadsverwarming, gehele vloerverwarming en warmte terugwininstallatie",1087EH,-,-,-,1087,1087EH,52.35717,4.99655,389144,K.K.,3778,103
Erich Salomonstraat 152,https://www.funda.nl/koop/amsterdam/appartement-87813211-erich-salomonstraat-152/?navigateSource=resultlist,€ 380.000 k.k.,€ 4.471,5 weken,Verkocht onder voorbehoud,In overleg,€ 69 per maand,Galerijflat (appartement),Bestaande bouw,2008,-,85 m²,7 m²,3 kamers (2 slaapkamers),-,-,1 woonlaag,3e woonlaag,Elektra,A Wat betekent dit?,Volledig geïsoleerd,Stadsverwarming,1087EH,-,-,-,1087,1087EH,52.35717,4.99655,380000,K.K.,4471,85
Geer Ban 35,https://www.funda.nl/koop/amsterdam/appartement-40315672-geer-ban-35/?navigateSource=resultlist,€ 400.000 k.k.,€ 3.670,2 maanden,Verkocht onder voorbehoud,In overleg,-,Maisonnette (dubbel bovenhuis),Bestaande bouw,2009,Plat dak bedekt met bitumineuze dakbedekking,109 m²,4 m²,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,"Ligbad, douche en toilet",2 woonlagen,2e woonlaag,Elektra,Niet beschikbaar,Dubbel glas en volledig geïsoleerd,Stadsverwarming,1068ZW,-,-,Parkeerkelder en parkeerplaats,1068,1068ZW,52.3642,4.8027,400000,K.K.,3670,109
Streefkerkstraat 73,https://www.funda.nl/koop/amsterdam/appartement-40391062-streefkerkstraat-73/?navigateSource=resultlist,€ 200.000 k.k.,€ 3.125,2 maanden,Verkocht onder voorbehoud,In overleg,-,Bovenwoning (appartement),Bestaande bouw,1981,Plat dak,64 m²,4 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,1e woonlaag,-,"C 1,47 Wat betekent dit?",Dubbel glas,Cv-ketel,1107LN,-,-,-,1107,1107LN,52.29356,4.98569,200000,K.K.,3125,64
Spanderswoudstraat 84,https://www.funda.nl/koop/amsterdam/appartement-40205290-spanderswoudstraat-84/?navigateSource=resultlist,€ 250.000 k.k.,€ 2.841,3 maanden,Verkocht onder voorbehoud,In overleg,-,Galerijflat (appartement),Bestaande bouw,1968,Plat dak bedekt met bitumineuze dakbedekking,88 m²,7 m²,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,3e woonlaag,Elektra,-,Gedeeltelijk dubbel glas,Cv-ketel,1024LE,-,-,-,1024,1024LE,52.390879999999996,4.9574300000000004,250000,K.K.,2841,88
Spinakerhof 100,https://www.funda.nl/koop/amsterdam/appartement-40338485-spinakerhof-100/?navigateSource=resultlist,€ 275.000 k.k.,€ 2.989,7 weken,Beschikbaar,In overleg,-,Portiekflat,Bestaande bouw,1976,-,92 m²,8 m²,4 kamers (3 slaapkamers),-,-,1 woonlaag,3e woonlaag,TV kabel,"C 1,44 Wat betekent dit?",Dubbel glas,Cv-ketel,1034MP,-,-,-,1034,1034MP,52.41005,4.92371,275000,K.K.,2989,92
Strackéstraat 143,https://www.funda.nl/koop/amsterdam/appartement-87864598-strackestraat-143/?navigateSource=resultlist,€ 240.000 k.k.,€ 3.810,2 weken,Onder bod,Per direct beschikbaar,€ 112 per maand,Bovenwoning (appartement),Bestaande bouw,1956,Plat dak bedekt met bitumineuze dakbedekking,63 m²,5 m²,3 kamers (2 slaapkamers),1 apart toilet,-,1 woonlaag,2e woonlaag,Elektra,-,Muurisolatie en dubbel glas,Stadsverwarming,1067KV,Energie Prestatie Advies,-,-,1067,1067KV,52.37852,4.79976,240000,K.K.,3810,63
Gibraltarstraat 63 1,https://www.funda.nl/koop/amsterdam/appartement-41464572-gibraltarstraat-63-1/?navigateSource=resultlist,€ 339.000 k.k.,€ 5.947,3 weken,Verkocht onder voorbehoud,Per direct beschikbaar,€ 70 per maand,Bovenwoning (appartement),Bestaande bouw,1937,Samengesteld dak bedekt met pannen en bitumineuze dakbedekking,57 m²,6 m²,4 kamers (2 slaapkamers),1 badkamer,Douche en toilet,5 woonlagen,2e woonlaag,Mechanische ventilatie en TV kabel,-,"Dakisolatie, muurisolatie, vloerisolatie en dubbel glas",Cv-ketel,1055NK,-,-,-,1055,1055NK,52.38366,4.85163,339000,K.K.,5947,57
