Name,Link,Vraagprijs,Vraagprijs per m²,Aangeboden sinds,Status,Aanvaarding,Bijdrage VvE,Soort appartement,Soort bouw,Bouwjaar,Soort dak,Wonen,Inhoud,Aantal kamers,Aantal badkamers,Badkamervoorzieningen,Aantal woonlagen,Gelegen op,Voorzieningen,Energielabel,Isolatie,Verwarming,Postal Code,Keurmerken,Toegankelijkheid,Soort garage,Postal Code Generic,PostalCode,Latitude,Longitude,Price,Sale type,Price per m2,Surface
Merlijnstraat 18 II,https://www.funda.nl/koop/amsterdam/appartement-41426230-merlijnstraat-18-ii/?navigateSource=resultlist,€ 325.000 k.k.,€ 6.019,11 oktober 2019,Beschikbaar,In overleg,-,Portiekflat (appartement),Bestaande bouw,1940,Plat dak,54 m²,12 m²,4 kamers (2 slaapkamers),1 badkamer,Toilet,1 woonlaag,2e woonlaag,Elektra,D Wat betekent dit?,Dubbel glas,Cv-ketel,1055DE,-,-,-,1055,1055DE,52.37915,4.85431,325000,K.K.,6019,54
Merlijnstraat 14 Hs,https://www.funda.nl/koop/amsterdam/appartement-40000295-merlijnstraat-14-hs/?navigateSource=resultlist,€ 347.500 k.k.,€ 6.205,6+ maanden,Beschikbaar,In overleg,€ 100 per maand,Bovenwoning (appartement),Bestaande bouw,1940,Plat dak,56 m²,11 m²,3 kamers (2 slaapkamers),1 badkamer,Douche en toilet,1 woonlaag,1e woonlaag,Elektra,Niet beschikbaar,Dakisolatie en dubbel glas,Cv-ketel,1055DE,-,-,-,1055,1055DE,52.37915,4.85431,347500,K.K.,6205,56
Merlijnstraat 15 I,https://www.funda.nl/koop/amsterdam/appartement-41411851-merlijnstraat-15-i/?navigateSource=resultlist,€ 300.000 k.k.,€ 5.455,6 oktober 2019,Beschikbaar,In overleg,€ 100 per maand,Bovenwoning,Bestaande bouw,1940,-,55 m²,11 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,2e woonlaag,Elektra,E Wat betekent dit?,Dubbel glas,Cv-ketel,1055DE,-,-,-,1055,1055DE,52.37915,4.85431,300000,K.K.,5455,55
Langswater 252,https://www.funda.nl/koop/amsterdam/appartement-41425325-langswater-252/?navigateSource=resultlist,€ 200.000 k.k.,€ 3.333,9 oktober 2019,Beschikbaar,In overleg,€ 180 per maand,Galerijflat (appartement),Bestaande bouw,1963,Plat dak bedekt met bitumineuze dakbedekking,60 m²,5 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,13e woonlaag,Lift en TV kabel,-,Dubbel glas,Stadsverwarming,1069TS,-,-,-,1069,1069TS,52.35674,4.78926,200000,K.K.,3333,60
Langswater 192,https://www.funda.nl/koop/amsterdam/appartement-86779616-langswater-192/?navigateSource=resultlist,€ 230.000 k.k.,€ 3.194,2 maanden,Verkocht onder voorbehoud,Per direct beschikbaar,€ 167 per maand,Portiekflat (appartement),Bestaande bouw,1963,Plat dak,72 m²,8 m²,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,7e woonlaag,-,-,Dubbel glas,-,1069TS,-,-,-,1069,1069TS,52.35674,4.78926,230000,K.K.,3194,72
Cornelis Outshoornstraat 52,https://www.funda.nl/koop/amsterdam/appartement-41411735-cornelis-outshoornstraat-52/?navigateSource=resultlist,€ 397.000 k.k.,€ 4.010,5 oktober 2019,Beschikbaar,In overleg,€ 116 per maand,Maisonnette (appartement),Bestaande bouw,2001,Plat dak,99 m²,21 m²,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Ligbad,2 woonlagen,1e woonlaag,Mechanische ventilatie en TV kabel,-,"Dakisolatie, muurisolatie, vloerisolatie, dubbel glas, gedeeltelijk dubbel glas, voorzetramen, volledig geïsoleerd, geen spouw en eco-bouw",Cv-ketel,1067HD,-,-,-,1067,1067HD,52.38156,4.79772,397000,K.K.,4010,99
Elpermeer 180,https://www.funda.nl/koop/amsterdam/appartement-41410362-elpermeer-180/?navigateSource=resultlist,€ 260.000 k.k.,€ 3.059,5 oktober 2019,Beschikbaar,In overleg,-,Galerijflat (appartement),Bestaande bouw,1966,Plat dak,85 m²,5 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,2e woonlaag,Lift,B Wat betekent dit?,Gedeeltelijk dubbel glas,Stadsverwarming,1025AM,-,-,-,1025,1025AM,52.40187,4.94735,260000,K.K.,3059,85
Middenweg 24 II,https://www.funda.nl/koop/amsterdam/appartement-41418342-middenweg-24-ii/?navigateSource=resultlist,€ 400.000 k.k.,€ 6.452,5 oktober 2019,Beschikbaar,In overleg,€ 88 per maand,Bovenwoning (appartement),Bestaande bouw,1912,-,62 m²,16 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Ligbad en douche,1 woonlaag,2e woonlaag,-,E Wat betekent dit?,Gedeeltelijk dubbel glas,Cv-ketel,1097BN,-,-,-,1097,1097BN,52.34754,4.94066,400000,K.K.,6452,62
Langswater 612,https://www.funda.nl/koop/amsterdam/appartement-41418235-langswater-612/?navigateSource=resultlist,€ 200.000 k.k.,€ 3.279,7 oktober 2019,Beschikbaar,Per direct beschikbaar,€ 239 per maand,Bovenwoning (appartement),Bestaande bouw,-,Plat dak bedekt met bitumineuze dakbedekking,61 m²,4 m²,3 kamers (2 slaapkamers),1 badkamer,Douche,1 woonlaag,9e woonlaag,"Lift, mechanische ventilatie en TV kabel",-,Dubbel glas,Stadsverwarming,1069EE,-,-,-,1069,1069EE,52.35674,4.78926,200000,K.K.,3279,61
Langswater 602,https://www.funda.nl/koop/amsterdam/appartement-40206158-langswater-602/?navigateSource=resultlist,€ 200.000 k.k.,€ 3.279,3 maanden,Beschikbaar,Per direct beschikbaar,€ 239 per maand,Bovenwoning (appartement),Bestaande bouw,-,Plat dak bedekt met bitumineuze dakbedekking,61 m²,4 m²,3 kamers (2 slaapkamers),1 badkamer,Douche,1 woonlaag,8e woonlaag,"Lift, mechanische ventilatie en TV kabel",-,Dubbel glas,Stadsverwarming,1069EE,-,-,-,1069,1069EE,52.35674,4.78926,200000,K.K.,3279,61
Langswater 584,https://www.funda.nl/koop/amsterdam/appartement-41468538-langswater-584/?navigateSource=resultlist,€ 200.000 k.k.,€ 3.279,4 weken,Verkocht onder voorbehoud,Per direct beschikbaar,€ 239 per maand,Bovenwoning (appartement),Bestaande bouw,-,Plat dak bedekt met bitumineuze dakbedekking,61 m²,4 m²,3 kamers (2 slaapkamers),1 badkamer,Douche,1 woonlaag,6e woonlaag,"Lift, mechanische ventilatie en TV kabel",-,Dubbel glas,Stadsverwarming,1069EE,-,-,-,1069,1069EE,52.35674,4.78926,200000,K.K.,3279,61
Langswater 559,https://www.funda.nl/koop/amsterdam/appartement-40377547-langswater-559/?navigateSource=resultlist,€ 200.000 k.k.,€ 2.857,3 maanden,Verkocht onder voorbehoud,Per direct beschikbaar,€ 270 per maand,Bovenwoning (appartement),Bestaande bouw,-,Plat dak bedekt met bitumineuze dakbedekking,70 m²,4 m²,4 kamers (3 slaapkamers),1 badkamer,Douche,1 woonlaag,3e woonlaag,"Lift, mechanische ventilatie en TV kabel",-,Dubbel glas,Stadsverwarming,1069EE,-,-,-,1069,1069EE,52.35674,4.78926,200000,K.K.,2857,70
Langswater 588,https://www.funda.nl/koop/amsterdam/appartement-40327071-langswater-588/?navigateSource=resultlist,€ 221.000 k.k.,€ 3.623,2 maanden,Beschikbaar,In overleg,€ 231 per maand,Galerijflat (appartement),Bestaande bouw,1966,-,61 m²,5 m²,3 kamers (2 slaapkamers),1 badkamer,Douche en toilet,13 woonlagen,6e woonlaag,Elektra,-,"Dakisolatie, muurisolatie, vloerisolatie en dubbel glas",Blokverwarming,1069EE,-,-,-,1069,1069EE,52.35674,4.78926,221000,K.K.,3623,61
Bergmolen 25,https://www.funda.nl/koop/amsterdam/appartement-41418290-bergmolen-25/?navigateSource=resultlist,€ 275.000 k.k.,€ 2.926,4 oktober 2019,Beschikbaar,In overleg,€ 186 per maand,Bovenwoning (appartement),Bestaande bouw,1968,Plat dak bedekt met bitumineuze dakbedekking,94 m²,8 m²,4 kamers (3 slaapkamers),1 apart toilet,-,1 woonlaag,4e woonlaag,Elektra,B Wat betekent dit?,Dubbel glas,Cv-ketel,1035BB,Energie Prestatie Advies,-,Parkeerplaats,1035,1035BB,52.41901,4.8860199999999985,275000,K.K.,2926,94
Grubbehoeve 421,https://www.funda.nl/koop/amsterdam/appartement-41416330-grubbehoeve-421/?navigateSource=resultlist,€ 185.000 k.k.,€ 2.643,3 oktober 2019,Beschikbaar,In overleg,€ 197 per maand,Galerijflat (appartement),Bestaande bouw,1970,Plat dak bedekt met bitumineuze dakbedekking,70 m²,10 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,5e woonlaag,TV kabel en lift,"D 1,75 Wat betekent dit?",Gedeeltelijk dubbel glas,Blokverwarming,1103GZ,-,-,-,1103,1103GZ,52.32257,4.97685,185000,K.K.,2643,70
