Vraagprijs,Vraagprijs per m²,Aangeboden sinds,Status,Aanvaarding,Bijdrage VvE,Soort appartement,Soort bouw,Bouwjaar,Soort dak,Wonen,Inhoud,Aantal kamers,Aantal badkamers,Badkamervoorzieningen,Aantal woonlagen,Gelegen op,Voorzieningen,Energielabel,Isolatie,Verwarming,Postal Code,Link,Keurmerken,Toegankelijkheid,Soort garage
€ 260.000 k.k.,€ 3.059,5 oktober 2019,Beschikbaar,In overleg,-,Galerijflat (appartement),Bestaande bouw,1966,Plat dak,85 m²,5 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,2e woonlaag,Lift,B Wat betekent dit?,Gedeeltelijk dubbel glas,Stadsverwarming,1025AM,https://www.funda.nl/koop/amsterdam/appartement-41410362-elpermeer-180/?navigateSource=resultlist,-,-,-
€ 400.000 k.k.,€ 6.452,5 oktober 2019,Beschikbaar,In overleg,€ 88 per maand,Bovenwoning (appartement),Bestaande bouw,1912,-,62 m²,16 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Ligbad en douche,1 woonlaag,2e woonlaag,-,E Wat betekent dit?,Gedeeltelijk dubbel glas,Cv-ketel,1097BN,https://www.funda.nl/koop/amsterdam/appartement-41418342-middenweg-24-ii/?navigateSource=resultlist,-,-,-
€ 200.000 k.k.,€ 3.279,7 oktober 2019,Beschikbaar,Per direct beschikbaar,€ 239 per maand,Bovenwoning (appartement),Bestaande bouw,-,Plat dak bedekt met bitumineuze dakbedekking,61 m²,4 m²,3 kamers (2 slaapkamers),1 badkamer,Douche,1 woonlaag,9e woonlaag,"Lift, mechanische ventilatie en TV kabel",-,Dubbel glas,Stadsverwarming,1069EE,https://www.funda.nl/koop/amsterdam/appartement-41418235-langswater-612/?navigateSource=resultlist,-,-,-
€ 275.000 k.k.,€ 2.926,4 oktober 2019,Beschikbaar,In overleg,€ 186 per maand,Bovenwoning (appartement),Bestaande bouw,1968,Plat dak bedekt met bitumineuze dakbedekking,94 m²,8 m²,4 kamers (3 slaapkamers),1 apart toilet,-,1 woonlaag,4e woonlaag,Elektra,B Wat betekent dit?,Dubbel glas,Cv-ketel,1035BB,https://www.funda.nl/koop/amsterdam/appartement-41418290-bergmolen-25/?navigateSource=resultlist,Energie Prestatie Advies,-,Parkeerplaats
€ 185.000 k.k.,€ 2.643,3 oktober 2019,Beschikbaar,In overleg,€ 197 per maand,Galerijflat (appartement),Bestaande bouw,1970,Plat dak bedekt met bitumineuze dakbedekking,70 m²,10 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,5e woonlaag,TV kabel en lift,"D 1,75 Wat betekent dit?",Gedeeltelijk dubbel glas,Blokverwarming,1103GZ,https://www.funda.nl/koop/amsterdam/appartement-41416330-grubbehoeve-421/?navigateSource=resultlist,-,-,-
€ 325.000 k.k.,€ 3.155,2 weken,Beschikbaar,In overleg,-,Galerijflat (appartement),Bestaande bouw,2004,Plat dak bedekt met bitumineuze dakbedekking,103 m²,17 m²,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Ligbad,1 woonlaag,1e woonlaag,Elektra,B Wat betekent dit?,Volledig geïsoleerd,Cv-ketel,1068PM,https://www.funda.nl/koop/amsterdam/appartement-41401465-oeverpad-482/?navigateSource=resultlist,-,Toegankelijk voor ouderen,Parkeerkelder en parkeerplaats
€ 250.000 k.k.,€ 3.086,2 weken,Beschikbaar,In overleg,-,Galerijflat (appartement),Bestaande bouw,1962,Plat dak bedekt met bitumineuze dakbedekking,81 m²,8 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,2e woonlaag,TV kabel en lift,G Wat betekent dit?,Geen isolatie,Blokverwarming,1068HZ,https://www.funda.nl/koop/amsterdam/appartement-41400782-eastonstraat-19/?navigateSource=resultlist,-,-,-
€ 365.000 k.k.,€ 6.186,2 weken,Beschikbaar,In overleg,€ 137 per maand,Tussenverdieping (appartement),Bestaande bouw,1932,-,59 m²,3 m²,3 kamers (2 slaapkamers),1 apart toilet,-,1 woonlaag,1e woonlaag,Elektra,"E 2,28 Wat betekent dit?","Muurisolatie, vloerisolatie en dubbel glas",Cv-ketel,1058NJ,https://www.funda.nl/koop/amsterdam/appartement-87857530-legmeerplein-15-1/?navigateSource=resultlist,-,-,-
€ 350.000 k.k.,€ 6.364,2 weken,Beschikbaar,In overleg,€ 100 per maand,Bovenwoning (appartement),Bestaande bouw,1933,-,55 m²,9 m²,3 kamers (2 slaapkamers),1 apart toilet,-,1 woonlaag,2e woonlaag,Mechanische ventilatie,E Wat betekent dit?,Gedeeltelijk dubbel glas,Cv-ketel,1056KL,https://www.funda.nl/koop/amsterdam/appartement-41492564-geuzenkade-37-1/?navigateSource=resultlist,-,-,-
€ 250.000 k.k.,€ 3.788,3 weken,Beschikbaar,In overleg,-,Galerijflat (appartement),Bestaande bouw,1960,Plat dak bedekt met bitumineuze dakbedekking,66 m²,6 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,-,1 woonlaag,7e woonlaag,TV kabel en lift,B Wat betekent dit?,Dubbel glas,Stadsverwarming,1068LX,https://www.funda.nl/koop/amsterdam/appartement-41478400-osdorper-ban-269/?navigateSource=resultlist,-,Toegankelijk voor ouderen,-
