Vraagprijs,Vraagprijs per m²,Aangeboden sinds,Status,Aanvaarding,Bijdrage VvE,Soort appartement,Soort bouw,Bouwjaar,Soort dak,Wonen,Inhoud,Aantal kamers,Aantal badkamers,Badkamervoorzieningen,Aantal woonlagen,Gelegen op,Voorzieningen,Energielabel,Isolatie,Verwarming,Postal Code,Link,Keurmerken,Toegankelijkheid,Soort garage
€ 400.000 k.k.,€ 3.670,2 maanden,Verkocht onder voorbehoud,In overleg,-,Maisonnette (dubbel bovenhuis),Bestaande bouw,2009,Plat dak bedekt met bitumineuze dakbedekking,109 m²,4 m²,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,"Ligbad, douche en toilet",2 woonlagen,2e woonlaag,Elektra,Niet beschikbaar,Dubbel glas en volledig geïsoleerd,Stadsverwarming,1068ZW,https://www.funda.nl/koop/amsterdam/appartement-40315672-geer-ban-35/?navigateSource=resultlist,-,-,Parkeerkelder en parkeerplaats
€ 200.000 k.k.,€ 3.125,2 maanden,Verkocht onder voorbehoud,In overleg,-,Bovenwoning (appartement),Bestaande bouw,1981,Plat dak,64 m²,4 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,1e woonlaag,-,"C 1,47 Wat betekent dit?",Dubbel glas,Cv-ketel,1107LN,https://www.funda.nl/koop/amsterdam/appartement-40391062-streefkerkstraat-73/?navigateSource=resultlist,-,-,-
€ 250.000 k.k.,€ 2.841,3 maanden,Verkocht onder voorbehoud,In overleg,-,Galerijflat (appartement),Bestaande bouw,1968,Plat dak bedekt met bitumineuze dakbedekking,88 m²,7 m²,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,3e woonlaag,Elektra,-,Gedeeltelijk dubbel glas,Cv-ketel,1024LE,https://www.funda.nl/koop/amsterdam/appartement-40205290-spanderswoudstraat-84/?navigateSource=resultlist,-,-,-
€ 248.634 k.k.,€ 3.656,4 maanden,Verkocht onder voorbehoud,In overleg,-,Portiekflat (appartement),Bestaande bouw,2015,Plat dak bedekt met bitumineuze dakbedekking,68 m²,6 m²,3 kamers (2 slaapkamers),1 badkamer,Douche en toilet,1 woonlaag,6e woonlaag,Elektra,C Wat betekent dit?,Dubbel glas,Stadsverwarming,1104EA,https://www.funda.nl/koop/amsterdam/appartement-40282977-kleiburg-634/?navigateSource=resultlist,-,-,-
€ 280.000 k.k.,€ 2.857,Vandaag,Beschikbaar,In overleg,-,Galerijflat (appartement),Bestaande bouw,1970,Plat dak bedekt met bitumineuze dakbedekking,98 m²,6 m²,3 kamers (2 slaapkamers),1 apart toilet,-,1 woonlaag,7e woonlaag,Elektra en verwarming,Niet beschikbaar,Dubbel glas,Blokverwarming,1104EA,https://www.funda.nl/koop/amsterdam/appartement-87899079-kleiburg-722/?navigateSource=resultlist,-,-,-
€ 300.000 k.k.,€ 5.263,8 oktober 2019,Beschikbaar,In overleg,€ 143 per maand,Tussenverdieping (appartement),Bestaande bouw,-,-,57 m²,9 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,-,-,-,-,Cv-ketel,1055PN,https://www.funda.nl/koop/amsterdam/appartement-41412176-haarlemmerweg-557-2/?navigateSource=resultlist,-,-,-
€ 275.000 k.k.,€ 2.989,7 weken,Beschikbaar,In overleg,-,Portiekflat,Bestaande bouw,1976,-,92 m²,8 m²,4 kamers (3 slaapkamers),-,-,1 woonlaag,3e woonlaag,TV kabel,"C 1,44 Wat betekent dit?",Dubbel glas,Cv-ketel,1034MP,https://www.funda.nl/koop/amsterdam/appartement-40338485-spinakerhof-100/?navigateSource=resultlist,-,-,-
€ 221.000 k.k.,€ 3.623,2 maanden,Beschikbaar,In overleg,€ 231 per maand,Galerijflat (appartement),Bestaande bouw,1966,-,61 m²,5 m²,3 kamers (2 slaapkamers),1 badkamer,Douche en toilet,13 woonlagen,6e woonlaag,Elektra,-,"Dakisolatie, muurisolatie, vloerisolatie en dubbel glas",Blokverwarming,1069EE,https://www.funda.nl/koop/amsterdam/appartement-40327071-langswater-588/?navigateSource=resultlist,-,-,-
€ 240.000 k.k.,€ 3.810,2 weken,Onder bod,Per direct beschikbaar,€ 112 per maand,Bovenwoning (appartement),Bestaande bouw,1956,Plat dak bedekt met bitumineuze dakbedekking,63 m²,5 m²,3 kamers (2 slaapkamers),1 apart toilet,-,1 woonlaag,2e woonlaag,Elektra,-,Muurisolatie en dubbel glas,Stadsverwarming,1067KV,https://www.funda.nl/koop/amsterdam/appartement-87864598-strackestraat-143/?navigateSource=resultlist,Energie Prestatie Advies,-,-
€ 339.000 k.k.,€ 5.947,3 weken,Verkocht onder voorbehoud,Per direct beschikbaar,€ 70 per maand,Bovenwoning (appartement),Bestaande bouw,1937,Samengesteld dak bedekt met pannen en bitumineuze dakbedekking,57 m²,6 m²,4 kamers (2 slaapkamers),1 badkamer,Douche en toilet,5 woonlagen,2e woonlaag,Mechanische ventilatie en TV kabel,-,"Dakisolatie, muurisolatie, vloerisolatie en dubbel glas",Cv-ketel,1055NK,https://www.funda.nl/koop/amsterdam/appartement-41464572-gibraltarstraat-63-1/?navigateSource=resultlist,-,-,-
€ 379.000 k.k.,€ 5.338,4 weken,Verkocht onder voorbehoud,In overleg,€ 155 per maand,Bovenwoning (appartement),Bestaande bouw,1950,-,71 m²,6 m²,3 kamers (2 slaapkamers),1 apart toilet,-,1 woonlaag,1e woonlaag,TV kabel,D Wat betekent dit?,Dubbel glas,Cv-ketel,1055GR,https://www.funda.nl/koop/amsterdam/appartement-41465379-egidiusstraat-105-i/?navigateSource=resultlist,-,-,-
€ 350.000 k.k.,€ 6.140,5 weken,Verkocht onder voorbehoud,In overleg,€ 138 per maand,Bovenwoning (appartement),Bestaande bouw,-,Plat dak bedekt met bitumineuze dakbedekking,57 m²,15 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,3e woonlaag,Elektra,Niet beschikbaar,Dubbel glas,Cv-ketel,1055SN,https://www.funda.nl/koop/amsterdam/appartement-41457913-heer-halewijnstraat-3-ii/?navigateSource=resultlist,-,-,-
€ 300.000 k.k.,€ 3.093,6 weken,Verkocht onder voorbehoud,In overleg,-,Bovenwoning,Bestaande bouw,1975,-,97 m²,7 m²,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,2e woonlaag,Mechanische ventilatie en lift,"D 1,78 Wat betekent dit?","Muurisolatie, vloerisolatie en dubbel glas",Stadsverwarming,1025TX,https://www.funda.nl/koop/amsterdam/appartement-40347332-loenermark-561/?navigateSource=resultlist,-,-,Parkeerplaats
€ 400.000 k.k.,€ 5.333,6 weken,Verkocht onder voorbehoud,In overleg,-,Bovenwoning (appartement),Bestaande bouw,1957,-,75 m²,7 m²,4 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Ligbad,4 woonlagen,2e woonlaag,-,Niet beschikbaar,Dubbel glas,Cv-ketel,1098TS,https://www.funda.nl/koop/amsterdam/appartement-40346962-max-planckstraat-19-i/?navigateSource=resultlist,-,-,-
€ 300.000 k.k.,€ 4.110,7 weken,Verkocht onder voorbehoud,In overleg,-,Bovenwoning (appartement),Bestaande bouw,2014,Plat dak bedekt met bitumineuze dakbedekking,73 m²,6 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,3e woonlaag,Elektra,A Wat betekent dit?,-,Stadsverwarming,1034AB,https://www.funda.nl/koop/amsterdam/appartement-40333216-banne-buikslootlaan-115-a/?navigateSource=resultlist,-,-,-
€ 375.000 k.k.,€ 4.360,7 weken,Verkocht onder voorbehoud,In overleg,€ 131 per maand,Bovenwoning (appartement),Bestaande bouw,2005,Plat dak bedekt met bitumineuze dakbedekking,86 m²,6 m²,3 kamers (2 slaapkamers),1 badkamer,"Ligbad, douche en toilet",1 woonlaag,7e woonlaag,-,-,Volledig geïsoleerd,Stadsverwarming,1087KH,https://www.funda.nl/koop/amsterdam/appartement-40332801-maria-austriastraat-730/?navigateSource=resultlist,-,-,-
€ 325.000 k.k.,€ 3.652,8 weken,Verkocht onder voorbehoud,In overleg,€ 137 per maand,Galerijflat (appartement),Bestaande bouw,2014,-,89 m²,2 m²,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Ligbad en douche,1 woonlaag,4e woonlaag,Lift,Niet beschikbaar,Volledig geïsoleerd,Stadsverwarming,1067DZ,https://www.funda.nl/koop/amsterdam/appartement-40324660-albardagracht-66-t/?navigateSource=resultlist,-,-,-
€ 300.000 k.k.,€ 3.226,2 maanden,Verkocht onder voorbehoud,In overleg,-,Maisonnette,Bestaande bouw,1995,-,93 m²,5 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,2 woonlagen,-,Mechanische ventilatie,-,-,Cv-ketel,1034WL,https://www.funda.nl/koop/amsterdam/appartement-40329919-abebe-bikilalaan-41/?navigateSource=resultlist,-,-,-
€ 340.000 k.k.,€ 3.617,2 maanden,Verkocht onder voorbehoud,In overleg,-,Galerijflat (appartement),Bestaande bouw,-,-,94 m²,6 m²,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,12e woonlaag,TV kabel en lift,"E 2,16 Wat betekent dit?",Dubbel glas,Blokverwarming,1064EJ,https://www.funda.nl/koop/amsterdam/appartement-40329865-burgemeester-hogguerstraat-1133/?navigateSource=resultlist,-,-,-
€ 225.000 k.k.,€ 3.409,2 maanden,Verkocht onder voorbehoud,In overleg,-,Bovenwoning (appartement),Bestaande bouw,1965,-,66 m²,19 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Ligbad en douche,1 woonlaag,-,-,"C 1,31 Wat betekent dit?",-,Cv-ketel,1024PX,https://www.funda.nl/koop/amsterdam/appartement-40327771-schoorlstraat-200/?navigateSource=resultlist,-,-,-
€ 289.000 k.k.,€ 3.568,3 maanden,Verkocht onder voorbehoud,In overleg,-,Galerijflat (appartement),Bestaande bouw,1998,Plat dak bedekt met bitumineuze dakbedekking,81 m²,5 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Ligbad,1 woonlaag,1e woonlaag,"Mechanische ventilatie, alarminstallatie, TV kabel en lift",B Wat betekent dit?,-,Stadsverwarming,1060TX,https://www.funda.nl/koop/amsterdam/appartement-40215380-pieter-calandlaan-702/?navigateSource=resultlist,-,-,-
€ 400.000 k.k.,€ 4.396,3 maanden,Verkocht onder voorbehoud,In overleg,-,Portiekwoning (appartement),Bestaande bouw,1992,Plat dak bedekt met bitumineuze dakbedekking,91 m²,4 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,10e woonlaag,Elektra,-,Dubbel glas,Cv-ketel,1062KE,https://www.funda.nl/koop/amsterdam/appartement-40203241-wittgensteinlaan-229/?navigateSource=resultlist,-,-,Parkeerplaats
€ 375.000 k.k.,€ 4.213,3 maanden,Verkocht onder voorbehoud,In overleg,€ 230 per maand,Bovenwoning (appartement),Bestaande bouw,1964,Plat dak bedekt met bitumineuze dakbedekking,89 m²,6 m²,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,2e woonlaag,-,-,Dubbel glas,Stadsverwarming,1082JH,https://www.funda.nl/koop/amsterdam/appartement-40201354-van-nijenrodeweg-763/?navigateSource=resultlist,-,-,-
€ 275.000 k.k.,€ 2.750,4 maanden,Verkocht onder voorbehoud,In overleg,-,Bovenwoning (appartement),Bestaande bouw,2007,Plat dak,100 m²,4 m²,3 kamers (2 slaapkamers),1 badkamer,Douche,1 woonlaag,5e woonlaag,Elektra,-,Volledig geïsoleerd,Stadsverwarming,1104VA,https://www.funda.nl/koop/amsterdam/appartement-40291942-1e-kekerstraat-141/?navigateSource=resultlist,-,-,Parkeerkelder en parkeerplaats
€ 275.000 k.k.,€ 3.716,4 maanden,Verkocht onder voorbehoud,In overleg,-,Galerijflat (appartement),Bestaande bouw,1962,-,74 m²,6 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,5e woonlaag,-,-,Dubbel glas,Blokverwarming,1068JA,https://www.funda.nl/koop/amsterdam/appartement-40298030-eastonstraat-41/?navigateSource=resultlist,-,-,-
€ 375.000 k.k.,€ 5.000,4 maanden,Verkocht onder voorbehoud,In overleg,€ 240 per maand,Tussenverdieping (appartement),Bestaande bouw,1956,Plat dak bedekt met bitumineuze dakbedekking,75 m²,7 m²,3 kamers (2 slaapkamers),1 badkamer,Douche,1 woonlaag,2e woonlaag,Elektra,Niet beschikbaar,-,Blokverwarming,1098SN,https://www.funda.nl/koop/amsterdam/appartement-40271562-avogadrostraat-5-ii/?navigateSource=resultlist,-,-,-
€ 235.000 k.k.,€ 4.196,10 oktober 2019,Beschikbaar,Per direct beschikbaar,€ 97 per maand,Benedenwoning,Bestaande bouw,1957,-,56 m²,5 m²,3 kamers (2 slaapkamers),-,-,1 woonlaag,Begane grond,TV kabel,Niet beschikbaar,-,-,1065HD,https://www.funda.nl/koop/amsterdam/appartement-41426165-louis-chrispijnstraat-19/?navigateSource=resultlist,-,-,-
€ 374.500 k.k.,€ 6.570,2 weken,Beschikbaar,In overleg,-,Benedenwoning,Bestaande bouw,Voor 1906,-,57 m²,27 m²,3 kamers (2 slaapkamers),-,-,1 woonlaag,Begane grond,-,Niet beschikbaar,-,Cv-ketel,1051EL,https://www.funda.nl/koop/amsterdam/appartement-41400610-groen-van-prinstererstraat-79-hs/?navigateSource=resultlist,-,-,-
€ 399.000 k.k.,€ 4.988,5 weken,Beschikbaar,Per direct beschikbaar,€ 178 per maand,Bovenwoning (appartement),Bestaande bouw,1964,-,80 m²,4 m²,3 kamers (2 slaapkamers),-,-,1 woonlaag,3e woonlaag,-,C Wat betekent dit?,-,-,1082TW,https://www.funda.nl/koop/amsterdam/appartement-87814834-crack-state-61/?navigateSource=resultlist,-,-,-
€ 250.000 k.k.,€ 2.809,4 maanden,Beschikbaar,In overleg,-,Galerijflat,Bestaande bouw,1968,-,89 m²,7 m²,4 kamers (3 slaapkamers),-,-,1 woonlaag,2e woonlaag,-,-,-,Cv-ketel,1024LD,https://www.funda.nl/koop/amsterdam/appartement-40297905-spanderswoudstraat-16/?navigateSource=resultlist,-,-,-
€ 395.000 v.o.n.,€ 5.896,4 maanden,Beschikbaar,In overleg,-,Bovenwoning (appartement),Nieuwbouw,2020,-,67 m²,5 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,2e woonlaag,Lift en TV kabel,-,-,Stadsverwarming en gehele vloerverwarming,1031HZ,https://www.funda.nl/koop/amsterdam/appartement-40288842-conny-stuartstraat-7/?navigateSource=resultlist,Woningborg garantiecertificaat,-,Parkeerplaats
€ 323.000 v.o.n.,€ 5.475,4 maanden,Beschikbaar,In overleg,-,Bovenwoning (appartement),Nieuwbouw,2020,-,59 m²,5 m²,3 kamers (2 slaapkamers),1 badkamer,Douche en toilet,1 woonlaag,2e woonlaag,Lift en TV kabel,-,-,Stadsverwarming en gehele vloerverwarming,1031HZ,https://www.funda.nl/koop/amsterdam/appartement-40288756-conny-stuartstraat-13/?navigateSource=resultlist,Woningborg garantiecertificaat,-,Parkeerplaats
€ 395.000 k.k.,€ 6.583,6+ maanden,Beschikbaar,In overleg,-,Bovenwoning,Bestaande bouw,1930,Samengesteld dak,60 m²,60 m²,3 kamers (2 slaapkamers),-,-,1 woonlaag,-,TV kabel,-,Dubbel glas,Cv-ketel,1058GX,https://www.funda.nl/koop/amsterdam/appartement-49951930-antillenstraat-21-1/?navigateSource=resultlist,-,-,-
€ 383.500 v.o.n.,€ 3.913,2 maanden,Beschikbaar,In overleg,-,Penthouse (appartement),Nieuwbouw,2021,Plat dak bedekt met overig,98 m²,8 m²,4 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Ligbad en douche,1 woonlaag,4e woonlaag,Mechanische ventilatie,A Wat betekent dit?,Volledig geïsoleerd,Stadsverwarming,1087Am,https://www.funda.nl/koop/amsterdam/appartement-40392537-centrumeiland-cp-go-bnr-27/?navigateSource=resultlist,-,-,Inpandig en parkeerkelder
€ 350.000 k.k.,€ 4.167,3 weken,Onder bod,In overleg,-,Bovenwoning (appartement),Bestaande bouw,2010,Dwarskap,84 m²,6 m²,3 kamers (2 slaapkamers),-,-,1 woonlaag,3e woonlaag,Elektra,-,Volledig geïsoleerd,Stadsverwarming,1087EK,https://www.funda.nl/koop/amsterdam/appartement-41475312-maria-austriastraat-113/?navigateSource=resultlist,-,-,Parkeerkelder
€ 250.000 k.k.,€ 3.571,4 weken,Verkocht onder voorbehoud,In overleg,€ 116 per maand,Portiekflat (appartement),Bestaande bouw,1989,Plat dak,70 m²,6 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,3e woonlaag,-,C Wat betekent dit?,Volledig geïsoleerd,Cv-ketel,1033ZB,https://www.funda.nl/koop/amsterdam/appartement-41454584-kermispad-119/?navigateSource=resultlist,-,-,-
€ 375.000 k.k.,€ 6.466,5 weken,Verkocht onder voorbehoud,In overleg,€ 110 per maand,Bovenwoning (appartement),Bestaande bouw,1925,-,58 m²,7 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,-,1 woonlaag,3e woonlaag,-,Niet beschikbaar,Dubbel glas,Cv-ketel,1056SK,https://www.funda.nl/koop/amsterdam/appartement-41450619-vespuccistraat-101-ii/?navigateSource=resultlist,-,-,-
€ 349.154 k.k.,€ 4.108,5 weken,Verkocht onder voorbehoud,In overleg,-,Galerijflat (appartement),Bestaande bouw,2007,Plat dak bedekt met bitumineuze dakbedekking,85 m²,4 m²,3 kamers (2 slaapkamers),1 apart toilet,-,1 woonlaag,2e woonlaag,Elektra,Niet beschikbaar,Volledig geïsoleerd,Stadsverwarming,1087KP,https://www.funda.nl/koop/amsterdam/appartement-41458541-julius-pergerstraat-154/?navigateSource=resultlist,-,-,-
€ 250.000 k.k.,€ 3.333,2 maanden,Verkocht onder voorbehoud,In overleg,-,Bovenwoning,Bestaande bouw,1990,Plat dak bedekt met bitumineuze dakbedekking,75 m²,3 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,-,Mechanische ventilatie,-,-,Cv-ketel,1033DL,https://www.funda.nl/koop/amsterdam/appartement-40311931-ponserstraat-28/?navigateSource=resultlist,-,-,-
€ 275.000 k.k.,€ 3.022,7 weken,Verkocht onder voorbehoud,In overleg,-,Galerijflat (appartement),Bestaande bouw,1969,-,91 m²,4 m²,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Douche en toilet,2 woonlagen,-,Elektra,C Wat betekent dit?,-,-,1069GD,https://www.funda.nl/koop/amsterdam/appartement-40331490-akerwateringstraat-159/?navigateSource=resultlist,-,-,-
€ 317.000 k.k.,€ 5.981,2 maanden,Verkocht onder voorbehoud,In overleg,€ 106 per maand,Bovenwoning,Bestaande bouw,1927,-,53 m²,44 m²,3 kamers (2 slaapkamers),1 badkamer,Douche en toilet,1 woonlaag,2e woonlaag,-,D Wat betekent dit?,Dubbel glas,Cv-ketel,1056CS,https://www.funda.nl/koop/amsterdam/appartement-40328161-hoofdweg-397-ii/?navigateSource=resultlist,-,-,-
€ 395.000 k.k.,€ 4.540,3 maanden,Verkocht onder voorbehoud,In overleg,€ 294 per maand,Bovenwoning (appartement),Bestaande bouw,1964,Plat dak bedekt met bitumineuze dakbedekking,87 m²,6 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Ligbad,1 woonlaag,5e woonlaag,-,-,-,Stadsverwarming,1082JJ,https://www.funda.nl/koop/amsterdam/appartement-40226249-van-nijenrodeweg-775/?navigateSource=resultlist,-,-,-
€ 350.000 k.k.,€ 6.140,4 oktober 2019,Onder bod,In overleg,€ 96 per maand,Bovenwoning (appartement),Bestaande bouw,1925,Plat dak bedekt met bitumineuze dakbedekking,57 m²,6 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,-,1 woonlaag,3e woonlaag,Mechanische ventilatie en TV kabel,Niet verplicht,Dubbel glas,Cv-ketel,1057CX,https://www.funda.nl/koop/amsterdam/appartement-41410182-hoofdweg-285-3/?navigateSource=resultlist,-,-,-
€ 350.000 k.k.,€ 3.241,2 weken,Verkocht onder voorbehoud,In overleg,€ 167 per maand,Tussenverdieping (appartement),Bestaande bouw,-,Plat dak,108 m²,13 m²,3 kamers (2 slaapkamers),1 badkamer,"Ligbad, douche en toilet",1 woonlaag,2e woonlaag,Elektra en stromend water,A Wat betekent dit?,Vloerisolatie en volledig geïsoleerd,Cv-ketel,1069GA,https://www.funda.nl/koop/amsterdam/appartement-41406011-osdorper-ban-731/?navigateSource=resultlist,-,-,-
€ 375.000 k.k.,€ 6.466,3 weken,Onder bod,In overleg,€ 94 per maand,Bovenwoning (appartement),Bestaande bouw,1885,Samengesteld dak bedekt met pannen en bitumineuze dakbedekking,58 m²,8 m²,3 kamers (2 slaapkamers),1 badkamer,Ligbad,1 woonlaag,2e woonlaag,Mechanische ventilatie en TV kabel,C Wat betekent dit?,Dubbel glas,Cv-ketel,1053DC,https://www.funda.nl/koop/amsterdam/appartement-87828937-kinkerstraat-19-ii/?navigateSource=resultlist,Energie Prestatie Advies,-,-
€ 395.000 k.k.,€ 5.267,7 weken,Verkocht onder voorbehoud,In overleg,€ 81 per maand,Maisonnette (appartement),Bestaande bouw,1959,Zadeldak bedekt met pannen,75 m²,7 m²,4 kamers (3 slaapkamers),1 badkamer,Douche en toilet,2 woonlagen,3e woonlaag,-,E Wat betekent dit?,Dubbel glas,Cv-ketel,1083BN,https://www.funda.nl/koop/amsterdam/appartement-40333521-bouvigne-16-3/?navigateSource=resultlist,-,-,-
€ 349.000 k.k.,€ 3.525,7 weken,Onder bod,In overleg,€ 139 per maand,Bovenwoning (appartement),Bestaande bouw,2008,Plat dak bedekt met bitumineuze dakbedekking,99 m²,7 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Ligbad en douche,1 woonlaag,5e woonlaag,Elektra,B Wat betekent dit?,Volledig geïsoleerd,Cv-ketel,1069LK,https://www.funda.nl/koop/amsterdam/appartement-40339433-baden-powellweg-54-d/?navigateSource=resultlist,-,-,Inpandig en parkeerplaats
€ 389.000 k.k.,€ 6.707,2 maanden,Verkocht onder voorbehoud,In overleg,€ 83 per maand,Benedenwoning (appartement),Bestaande bouw,1921,Plat dak bedekt met bitumineuze dakbedekking,58 m²,3 m²,4 kamers (3 slaapkamers),1 badkamer,Douche en toilet,1 woonlaag,Begane grond,Elektra,Niet verplicht,Dubbel glas,Cv-ketel,1075NK,https://www.funda.nl/koop/amsterdam/appartement-40326613-cornelis-krusemanstraat-85-hs/?navigateSource=resultlist,-,-,-
€ 250.000 k.k.,€ 3.247,2 maanden,Verkocht onder voorbehoud,In overleg,-,Portiekflat (appartement),Bestaande bouw,1967,Plat dak bedekt met bitumineuze dakbedekking,77 m²,7 m²,4 kamers (3 slaapkamers),-,-,1 woonlaag,4e woonlaag,Elektra,"D 1,88 Wat betekent dit?",Dubbel glas,Cv-ketel,1025BE,https://www.funda.nl/koop/amsterdam/appartement-40325334-savelsbos-8/?navigateSource=resultlist,Energie Prestatie Advies,-,-
€ 185.000 k.k.,€ 2.803,Vandaag,Beschikbaar,In overleg,-,Portiekflat,Bestaande bouw,1983,-,66 m²,66 m²,3 kamers (2 slaapkamers),-,-,1 woonlaag,-,-,-,-,-,1106DS,https://www.funda.nl/koop/amsterdam/appartement-41424609-wamelplein-151/?navigateSource=resultlist,-,-,-
€ 350.000 k.k.,€ 6.250,Vandaag,Beschikbaar,In overleg,-,Portiekflat,Bestaande bouw,1931,-,56 m²,56 m²,3 kamers (2 slaapkamers),-,-,1 woonlaag,-,-,-,-,-,1076SP,https://www.funda.nl/koop/amsterdam/appartement-41423392-herculesstraat-56-c/?navigateSource=resultlist,-,-,-
€ 365.000 k.k.,€ 4.679,14 oktober 2019,Beschikbaar,In overleg,-,Portiekflat,Bestaande bouw,1990,-,78 m²,78 m²,3 kamers (2 slaapkamers),-,-,1 woonlaag,-,-,"B 1,28 Wat betekent dit?",-,-,1095WB,https://www.funda.nl/koop/amsterdam/appartement-41423935-boeroestraat-70/?navigateSource=resultlist,-,-,-
€ 375.000 k.k.,€ 5.769,4 weken,Verkocht onder voorbehoud,In overleg,€ 98 per maand,Bovenwoning (appartement),Bestaande bouw,1937,-,65 m²,9 m²,4 kamers (3 slaapkamers),1 badkamer,Douche en toilet,1 woonlaag,3e woonlaag,Elektra,D Wat betekent dit?,Dubbel glas,Cv-ketel,1051JC,https://www.funda.nl/koop/amsterdam/appartement-41468775-schaepmanstraat-1-ii/?navigateSource=resultlist,-,-,-
€ 375.000 k.k.,€ 4.630,4 weken,Onder bod,In overleg,€ 99 per maand,Galerijflat (appartement),Bestaande bouw,2007,-,81 m²,4 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,1e woonlaag,Mechanische ventilatie,A Wat betekent dit?,"Dakisolatie, muurisolatie, vloerisolatie, dubbel glas en volledig geïsoleerd",Stadsverwarming,1087KN,https://www.funda.nl/koop/amsterdam/appartement-41467928-julius-pergerstraat-13/?navigateSource=resultlist,-,-,-
€ 250.000 k.k.,€ 3.788,5 weken,Verkocht onder voorbehoud,In overleg,-,Portiekflat (appartement),Bestaande bouw,-,Zadeldak bedekt met pannen,66 m²,17 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,4e woonlaag,TV kabel,"C 1,31 Wat betekent dit?",Dubbel glas,Cv-ketel,1024TN,https://www.funda.nl/koop/amsterdam/appartement-41456166-alkmaarstraat-209/?navigateSource=resultlist,Energie Prestatie Advies,-,-
€ 395.000 k.k.,€ 7.182,5 weken,Verkocht onder voorbehoud,In overleg,€ 60 per maand,Bovenwoning (appartement),Bestaande bouw,1902,Samengesteld dak bedekt met bitumineuze dakbedekking,55 m²,6 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,3e woonlaag,Mechanische ventilatie en TV kabel,E Wat betekent dit?,-,Cv-ketel,1094HJ,https://www.funda.nl/koop/amsterdam/appartement-40343805-javastraat-50-ii/?navigateSource=resultlist,-,-,-
€ 275.000 k.k.,€ 3.274,2 maanden,Verkocht onder voorbehoud,In overleg,-,Galerijflat (appartement),Bestaande bouw,1966,Plat dak,84 m²,5 m²,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Douche en toilet,1 woonlaag,5e woonlaag,Elektra,B Wat betekent dit?,Muurisolatie en dubbel glas,Stadsverwarming,1025AN,https://www.funda.nl/koop/amsterdam/appartement-40322198-elpermeer-210/?navigateSource=resultlist,-,-,-
€ 390.000 k.k.,€ 6.842,2 weken,Verkocht onder voorbehoud,In overleg,-,Bovenwoning (appartement),Bestaande bouw,1934,Plat dak,57 m²,6 m²,3 kamers (2 slaapkamers),1 badkamer,Douche en toilet,1 woonlaag,1e woonlaag,-,G Wat betekent dit?,-,Cv-ketel,1079SZ,https://www.funda.nl/koop/amsterdam/appartement-41492528-boterdiepstraat-56-i/?navigateSource=resultlist,-,-,-
€ 250.000 k.k.,€ 3.049,5 weken,Onder bod,In overleg,€ 219 per maand,Galerijflat (appartement),Bestaande bouw,1963,Plat dak bedekt met bitumineuze dakbedekking,82 m²,3 m²,3 kamers (2 slaapkamers),1 apart toilet,-,1 woonlaag,2e woonlaag,"Mechanische ventilatie, TV kabel en lift","C 1,42 Wat betekent dit?",Dubbel glas,Blokverwarming,1069HK,https://www.funda.nl/koop/amsterdam/appartement-87812794-lederambachtstraat-106/?navigateSource=resultlist,-,Toegankelijk voor gehandicapten en toegankelijk voor ouderen,-
